005930.KS;2023-01-01;12880000.0
005930.KS;2024-01-01;
005940.KS;2016-01-01;
005940.KS;2017-01-01;
005940.KS;2018-01-01;
005940.KS;2019-01-01;
005940.KS;2020-01-01;106.2
005940.KS;2021-01-01;98.4
005940.KS;2022-01-01;87.9
005940.KS;2023-01-01;79.9
005940.KS;2024-01-01;82.4
006360.KS;2016-01-01;
006360.KS;2017-01-01;
006360.KS;2018-01-01;
006360.KS;2019-01-01;
006360.KS;2020-01-01;
006360.KS;2021-01-01;1409714.0
006360.KS;2022-01-01;1723383.0
006360.KS;2023-01-01;1908154.0
006360.KS;2024-01-01;
006400.KS;2016-01-01;
006400.KS;2017-01-01;
006400.KS;2018-01-01;
006400.KS;2019-01-01;
006400.KS;2020-01-01;
006400.KS;2021-01-01;
006400.KS;2022-01-01;789059.0
006400.KS;2023-01-01;1029887.0
006400.KS;2024-01-01;
006800.KS;2016-01-01;
006800.KS;2017-01-01;
006800.KS;2018-01-01;
006800.KS;2019-01-01;
006800.KS;2020-01-01;50.0
006800.KS;2021-01-01;53.0
006800.KS;2022-01-01;89.0
006800.KS;2023-01-01;91.0
006800.KS;2024-01-01;
007310.KS;2016-01-01;4315583.0
007310.KS;2017-01-01;4315583.0
007310.KS;2018-01-01;4315583.0
007310.KS;2019-01-01;4315583.0
007310.KS;2020-01-01;4315583.0
007310.KS;2021-01-01;4315583.0
007310.KS;2022-01-01;4315583.0
007310.KS;2023-01-01;4315583.0
007310.KS;2024-01-01;4315583.0
0083.HK;2016-01-01;
0083.HK;2017-01-01;
0083.HK;2018-01-01;
0083.HK;2019-01-01;
0083.HK;2020-01-01;
0083.HK;2021-01-01;
0083.HK;2022-01-01;2619.0
0083.HK;2023-01-01;1352.0
0083.HK;2024-01-01;1292.0
009150.KS;2016-01-01;
009150.KS;2017-01-01;33595.0
009150.KS;2018-01-01;37253.0
009150.KS;2019-01-01;21419.0
009150.KS;2020-01-01;34583.0
009150.KS;2021-01-01;39826.0
009150.KS;2022-01-01;144311.0
009150.KS;2023-01-01;318807.0
009150.KS;2024-01-01;
009240.KS;2016-01-01;
009240.KS;2017-01-01;
009240.KS;2018-01-01;
009240.KS;2019-01-01;
009240.KS;2020-01-01;
009240.KS;2021-01-01;229512.0
009240.KS;2022-01-01;168577.0
009240.KS;2023-01-01;
009240.KS;2024-01-01;
009540.KS;2016-01-01;
009540.KS;2017-01-01;
009540.KS;2018-01-01;
009540.KS;2019-01-01;
009540.KS;2020-01-01;4697574.0
009540.KS;2021-01-01;4769943.0
009540.KS;2022-01-01;5969250.0
009540.KS;2023-01-01;6256839.0
009540.KS;2024-01-01;
009830.KS;2016-01-01;
009830.KS;2017-01-01;
009830.KS;2018-01-01;
009830.KS;2019-01-01;
009830.KS;2020-01-01;4287560.0
009830.KS;2021-01-01;4570230.0
009830.KS;2022-01-01;4505426.0
009830.KS;2023-01-01;4836043.0
009830.KS;2024-01-01;
010060.KS;2016-01-01;
010060.KS;2017-01-01;
010060.KS;2018-01-01;
010060.KS;2019-01-01;
010060.KS;2020-01-01;
010060.KS;2021-01-01;
010060.KS;2022-01-01;317283.0
010060.KS;2023-01-01;275830.0
010060.KS;2024-01-01;
0101.HK;2016-01-01;
0101.HK;2017-01-01;
0101.HK;2018-01-01;
0101.HK;2019-01-01;
0101.HK;2020-01-01;
0101.HK;2021-01-01;272024.0
0101.HK;2022-01-01;251794.0
0101.HK;2023-01-01;580191.0
0101.HK;2024-01-01;
010130.KS;2016-01-01;
010130.KS;2017-01-01;
010130.KS;2018-01-01;
010130.KS;2019-01-01;
010130.KS;2020-01-01;
010130.KS;2021-01-01;1597486.0
010130.KS;2022-01-01;1439329.0
010130.KS;2023-01-01;1456758.0
010130.KS;2024-01-01;
010140.KS;2016-01-01;
010140.KS;2017-01-01;
010140.KS;2018-01-01;
010140.KS;2019-01-01;
010140.KS;2020-01-01;
010140.KS;2021-01-01;2376535.0
010140.KS;2022-01-01;4087391.0
010140.KS;2023-01-01;4293256.0
010140.KS;2024-01-01;
010620.KS;2016-01-01;
010620.KS;2017-01-01;
010620.KS;2018-01-01;
010620.KS;2019-01-01;
010620.KS;2020-01-01;788095.0
010620.KS;2021-01-01;887624.0
010620.KS;2022-01-01;1210194.0
010620.KS;2023-01-01;1117940.0
010620.KS;2024-01-01;1146315.0
011070.KS;2016-01-01;487143.0
011070.KS;2017-01-01;487143.0
011070.KS;2018-01-01;487143.0
011070.KS;2019-01-01;487143.0
011070.KS;2020-01-01;487143.0
011070.KS;2021-01-01;487143.0
011070.KS;2022-01-01;487143.0
011070.KS;2023-01-01;487143.0
011070.KS;2024-01-01;487143.0
011170.KS;2016-01-01;
011170.KS;2017-01-01;
011170.KS;2018-01-01;
011170.KS;2019-01-01;
011170.KS;2020-01-01;
011170.KS;2021-01-01;
011170.KS;2022-01-01;8365478.0
011170.KS;2023-01-01;8647375.0
011170.KS;2024-01-01;
011200.KS;2016-01-01;
011200.KS;2017-01-01;
011200.KS;2018-01-01;
011200.KS;2019-01-01;
011200.KS;2020-01-01;
011200.KS;2021-01-01;6626.0
011200.KS;2022-01-01;
011200.KS;2023-01-01;4700.0
011200.KS;2024-01-01;
011790.KS;2016-01-01;
011790.KS;2017-01-01;
011790.KS;2018-01-01;
011790.KS;2019-01-01;
011790.KS;2020-01-01;
011790.KS;2021-01-01;
011790.KS;2022-01-01;2338019.0
011790.KS;2023-01-01;958163.0
011790.KS;2024-01-01;
012330.KS;2016-01-01;
012330.KS;2017-01-01;
012330.KS;2018-01-01;
012330.KS;2019-01-01;9188.0
012330.KS;2020-01-01;635674.0
012330.KS;2021-01-01;665812.0
012330.KS;2022-01-01;531300.0
012330.KS;2023-01-01;640577.0
012330.KS;2024-01-01;
012450.KS;2016-01-01;
012450.KS;2017-01-01;
012450.KS;2018-01-01;
012450.KS;2019-01-01;
012450.KS;2020-01-01;
012450.KS;2021-01-01;
012450.KS;2022-01-01;78433.0
012450.KS;2023-01-01;96093.0
012450.KS;2024-01-01;
015760.KS;2016-01-01;
015760.KS;2017-01-01;
015760.KS;2018-01-01;
015760.KS;2019-01-01;
015760.KS;2020-01-01;39334246.0
015760.KS;2021-01-01;344808.0
015760.KS;2022-01-01;139344.0
015760.KS;2023-01-01;1298.0
015760.KS;2024-01-01;
016360.KS;2016-01-01;
016360.KS;2017-01-01;
016360.KS;2018-01-01;2665.092
016360.KS;2019-01-01;143.0
016360.KS;2020-01-01;131.6
016360.KS;2021-01-01;110.6
016360.KS;2022-01-01;98.2
016360.KS;2023-01-01;76.0
016360.KS;2024-01-01;
0175.HK;2016-01-01;
0175.HK;2017-01-01;
0175.HK;2018-01-01;
0175.HK;2019-01-01;
0175.HK;2020-01-01;8990678.0
0175.HK;2021-01-01;8326976.0
0175.HK;2022-01-01;10433139.0
0175.HK;2023-01-01;12263153.0
0175.HK;2024-01-01;15817608.0
017670.KS;2016-01-01;
017670.KS;2017-01-01;
017670.KS;2018-01-01;
017670.KS;2019-01-01;2875881.0
017670.KS;2020-01-01;2645868.0
017670.KS;2021-01-01;2543897.0
017670.KS;2022-01-01;1925932.0
017670.KS;2023-01-01;1870658.0
017670.KS;2024-01-01;1992087.0
018260.KS;2016-01-01;
018260.KS;2017-01-01;
018260.KS;2018-01-01;
018260.KS;2019-01-01;
018260.KS;2020-01-01;41761.0
018260.KS;2021-01-01;38755.0
018260.KS;2022-01-01;22647.0
018260.KS;2023-01-01;112260.0
018260.KS;2024-01-01;
018880.KS;2016-01-01;
018880.KS;2017-01-01;
018880.KS;2018-01-01;
018880.KS;2019-01-01;1890000.0
018880.KS;2020-01-01;1676190.0
018880.KS;2021-01-01;1823498.0
018880.KS;2022-01-01;1982964.0
018880.KS;2023-01-01;3107656.0
018880.KS;2024-01-01;
0200.HK;2016-01-01;
0200.HK;2017-01-01;
0200.HK;2018-01-01;
0200.HK;2019-01-01;
0200.HK;2020-01-01;
0200.HK;2021-01-01;
0200.HK;2022-01-01;81164.0
0200.HK;2023-01-01;167148.0
0200.HK;2024-01-01;223089.0
021240.KS;2016-01-01;5062.0
021240.KS;2017-01-01;5062.0
021240.KS;2018-01-01;5062.0
021240.KS;2019-01-01;5062.0
021240.KS;2020-01-01;5062.0
021240.KS;2021-01-01;5062.0
021240.KS;2022-01-01;5062.0
021240.KS;2023-01-01;5062.0
021240.KS;2024-01-01;5062.0
023530.KS;2016-01-01;
023530.KS;2017-01-01;
023530.KS;2018-01-01;
023530.KS;2019-01-01;
023530.KS;2020-01-01;
023530.KS;2021-01-01;5662989.0
023530.KS;2022-01-01;5624431.0
023530.KS;2023-01-01;5427114.0
023530.KS;2024-01-01;
024110.KS;2016-01-01;
024110.KS;2017-01-01;
024110.KS;2018-01-01;8050.46
024110.KS;2019-01-01;12925.38
024110.KS;2020-01-01;1369.13
024110.KS;2021-01-01;1229.56
024110.KS;2022-01-01;1165.22
024110.KS;2023-01-01;1214.25
024110.KS;2024-01-01;
028050.KS;2016-01-01;
028050.KS;2017-01-01;
028050.KS;2018-01-01;104276.0
028050.KS;2019-01-01;106013.0
028050.KS;2020-01-01;138722.0
028050.KS;2021-01-01;151592.0
028050.KS;2022-01-01;157597.0
028050.KS;2023-01-01;366543.0
028050.KS;2024-01-01;
028260.KS;2016-01-01;
028260.KS;2017-01-01;
028260.KS;2018-01-01;
028260.KS;2019-01-01;100914.0
028260.KS;2020-01-01;109156.0
028260.KS;2021-01-01;83190.0
028260.KS;2022-01-01;74634.0
028260.KS;2023-01-01;81562.0
028260.KS;2024-01-01;
028670.KS;2016-01-01;
028670.KS;2017-01-01;
028670.KS;2018-01-01;
028670.KS;2019-01-01;
028670.KS;2020-01-01;
028670.KS;2021-01-01;22191.0
028670.KS;2022-01-01;9532.0
028670.KS;2023-01-01;2399.0
028670.KS;2024-01-01;
0288.HK;2016-01-01;
0288.HK;2017-01-01;
0288.HK;2018-01-01;
0288.HK;2019-01-01;
0288.HK;2020-01-01;
0288.HK;2021-01-01;
0288.HK;2022-01-01;
0288.HK;2023-01-01;30867939.75
0288.HK;2024-01-01;28112382.49
0293.HK;2016-01-01;
0293.HK;2017-01-01;
0293.HK;2018-01-01;
0293.HK;2019-01-01;
0293.HK;2020-01-01;
0293.HK;2021-01-01;
0293.HK;2022-01-01;312300.0
0293.HK;2023-01-01;534510.0
0293.HK;2024-01-01;705410.0
029780.KS;2016-01-01;500.0
029780.KS;2017-01-01;500.0
029780.KS;2018-01-01;500.0
029780.KS;2019-01-01;500.0
029780.KS;2020-01-01;500.0
029780.KS;2021-01-01;500.0
029780.KS;2022-01-01;500.0
029780.KS;2023-01-01;500.0
029780.KS;2024-01-01;500.0
030200.KS;2016-01-01;
030200.KS;2017-01-01;
030200.KS;2018-01-01;
030200.KS;2019-01-01;18119.0
030200.KS;2020-01-01;17124.0
030200.KS;2021-01-01;1013379.0
030200.KS;2022-01-01;978114.0
030200.KS;2023-01-01;1200407.602
030200.KS;2024-01-01;
0316.HK;2016-01-01;
0316.HK;2017-01-01;
0316.HK;2018-01-01;
0316.HK;2019-01-01;
0316.HK;2020-01-01;
0316.HK;2021-01-01;
0316.HK;2022-01-01;
0316.HK;2023-01-01;1415.0
0316.HK;2024-01-01;1855.0
032640.KS;2016-01-01;
032640.KS;2017-01-01;
032640.KS;2018-01-01;
032640.KS;2019-01-01;
032640.KS;2020-01-01;
032640.KS;2021-01-01;16193.0
032640.KS;2022-01-01;129113.0
032640.KS;2023-01-01;155678.0
032640.KS;2024-01-01;
032830.KS;2016-01-01;
032830.KS;2017-01-01;
032830.KS;2018-01-01;
032830.KS;2019-01-01;2113.0
032830.KS;2020-01-01;1741.0
032830.KS;2021-01-01;1672.0
032830.KS;2022-01-01;1746.0
032830.KS;2023-01-01;1814.0
032830.KS;2024-01-01;
033780.KS;2016-01-01;
033780.KS;2017-01-01;
033780.KS;2018-01-01;70556.0
033780.KS;2019-01-01;77747.0
033780.KS;2020-01-01;194065.0
033780.KS;2021-01-01;198907.0
033780.KS;2022-01-01;240323.0
033780.KS;2023-01-01;224444.0
033780.KS;2024-01-01;
034220.KS;2016-01-01;
034220.KS;2017-01-01;
034220.KS;2018-01-01;331825.0
034220.KS;2019-01-01;257712.0
034220.KS;2020-01-01;208591.0
034220.KS;2021-01-01;210912.0
034220.KS;2022-01-01;248454.0
034220.KS;2023-01-01;447323.0
034220.KS;2024-01-01;
0345.HK;2016-01-01;
0345.HK;2017-01-01;
0345.HK;2018-01-01;
0345.HK;2019-01-01;
0345.HK;2020-01-01;
0345.HK;2021-01-01;
0345.HK;2022-01-01;304185.78
0345.HK;2023-01-01;280058.88
0345.HK;2024-01-01;287049.84
034730.KS;2016-01-01;
034730.KS;2017-01-01;
034730.KS;2018-01-01;
034730.KS;2019-01-01;
034730.KS;2020-01-01;
034730.KS;2021-01-01;7480.42
034730.KS;2022-01-01;7854.0
034730.KS;2023-01-01;8307.0
034730.KS;2024-01-01;
035420.KS;2016-01-01;
035420.KS;2017-01-01;
035420.KS;2018-01-01;
035420.KS;2019-01-01;
035420.KS;2020-01-01;
035420.KS;2021-01-01;70791.0
035420.KS;2022-01-01;83826.0
035420.KS;2023-01-01;61348.0
035420.KS;2024-01-01;
035720.KS;2016-01-01;
035720.KS;2017-01-01;
035720.KS;2018-01-01;
035720.KS;2019-01-01;
035720.KS;2020-01-01;
035720.KS;2021-01-01;137.0
035720.KS;2022-01-01;63.0
035720.KS;2023-01-01;20.0
035720.KS;2024-01-01;
036460.KS;2016-01-01;
036460.KS;2017-01-01;
036460.KS;2018-01-01;
036460.KS;2019-01-01;
036460.KS;2020-01-01;
036460.KS;2021-01-01;
036460.KS;2022-01-01;12524796.0
036460.KS;2023-01-01;5807050.0
036460.KS;2024-01-01;
036570.KS;2016-01-01;
036570.KS;2017-01-01;
036570.KS;2018-01-01;
036570.KS;2019-01-01;
036570.KS;2020-01-01;
036570.KS;2021-01-01;
036570.KS;2022-01-01;103853.4
036570.KS;2023-01-01;78898.9
036570.KS;2024-01-01;
0384.HK;2016-01-01;12017923.37
0384.HK;2017-01-01;12017923.37
0384.HK;2018-01-01;12017923.37
0384.HK;2019-01-01;12017923.37
0384.HK;2020-01-01;12017923.37
0384.HK;2021-01-01;12017923.37
0384.HK;2022-01-01;12017923.37
0384.HK;2023-01-01;12017923.37
0384.HK;2024-01-01;12017923.37
0388.HK;2016-01-01;
0388.HK;2017-01-01;
0388.HK;2018-01-01;
0388.HK;2019-01-01;103.0
0388.HK;2020-01-01;56.0
0388.HK;2021-01-01;
0388.HK;2022-01-01;
0388.HK;2023-01-01;25878.0
0388.HK;2024-01-01;
042660.KS;2016-01-01;
042660.KS;2017-01-01;
042660.KS;2018-01-01;
042660.KS;2019-01-01;
042660.KS;2020-01-01;
042660.KS;2021-01-01;
042660.KS;2022-01-01;3176178.0
042660.KS;2023-01-01;2952151.0
042660.KS;2024-01-01;
042670.KS;2016-01-01;
042670.KS;2017-01-01;
042670.KS;2018-01-01;
042670.KS;2019-01-01;
042670.KS;2020-01-01;4766.0
042670.KS;2021-01-01;5913.0
042670.KS;2022-01-01;8415.0
042670.KS;2023-01-01;51415.0
042670.KS;2024-01-01;
047040.KS;2016-01-01;
047040.KS;2017-01-01;
047040.KS;2018-01-01;
047040.KS;2019-01-01;
047040.KS;2020-01-01;
047040.KS;2021-01-01;1025877.0
047040.KS;2022-01-01;1588274.0
047040.KS;2023-01-01;1732759.0
047040.KS;2024-01-01;
047050.KS;2016-01-01;340691.0
047050.KS;2017-01-01;340691.0
047050.KS;2018-01-01;340691.0
047050.KS;2019-01-01;340691.0
047050.KS;2020-01-01;340691.0
047050.KS;2021-01-01;340691.0
047050.KS;2022-01-01;340691.0
047050.KS;2023-01-01;340691.0
047050.KS;2024-01-01;340691.0
051900.KS;2016-01-01;
051900.KS;2017-01-01;
051900.KS;2018-01-01;
051900.KS;2019-01-01;
051900.KS;2020-01-01;51158.0
051900.KS;2021-01-01;151220.0
051900.KS;2022-01-01;135419.0
051900.KS;2023-01-01;133788.0
