,Instrument,Date,TR.UpstreamScope3PurchasedGoodsAndServices
21743,033780.KS,2024,215456.0
21749,XEL.OQ,2021,4120000.0
21750,XEL.OQ,2022,5080000.0
21751,XEL.OQ,2023,5450000.0
21752,XEL.OQ,2024,5660000.0
21756,GASI.MI,2019,9256.0
21757,GASI.MI,2020,5839.0
21758,GASI.MI,2021,5689.0
21759,GASI.MI,2022,5951.0
21760,GASI.MI,2023,5455.0
21761,GASI.MI,2024,25828.0
21767,SAT.BK,2021,13394.72
21768,SAT.BK,2022,16378.08
21769,SAT.BK,2023,12299.54
21770,SAT.BK,2024,23130.12
21775,CPIJ.J,2020,500.0
21776,CPIJ.J,2021,584.0
21777,CPIJ.J,2022,336.0
21778,CPIJ.J,2023,429.0
21779,CPIJ.J,2024,406.0
21783,EXC.OQ,2019,1654000.0
21784,EXC.OQ,2020,726000.0
21785,EXC.OQ,2021,634000.0
21786,EXC.OQ,2022,684062.0
21787,EXC.OQ,2023,691298.0
21788,EXC.OQ,2024,585529.0
21796,AIR.NZ,2023,218032.0
21797,AIR.NZ,2024,239391.0
21800,T.N,2018,2208205.0
21801,T.N,2019,2166116.0
21802,T.N,2020,1371545.0
21803,T.N,2021,1499797.0
21804,T.N,2022,6100783.0
21805,T.N,2023,4270744.0
21806,T.N,2024,3716509.0
21814,ACT1.DE,2023,286431.0
21815,ACT1.DE,2024,315720.0
21820,TAMO.NS,2020,377590.0
21821,TAMO.NS,2021,31781.0
21822,TAMO.NS,2022,65364.0
21823,TAMO.NS,2023,326061.0
21824,TAMO.NS,2024,10703700.0
21827,4751.T,2018,2875.6
21828,4751.T,2019,3358.35
21829,4751.T,2020,2052.54
21830,4751.T,2021,9579.0
21831,4751.T,2022,14370.0
21832,4751.T,2023,14763.0
21833,4751.T,2024,19059.0
21841,WLSP.NS,2023,340817.0
21842,WLSP.NS,2024,130596.0
21848,ACX.MC,2021,4055026.0
21849,ACX.MC,2022,3052094.0
21850,ACX.MC,2023,2597316.0
21851,ACX.MC,2024,3541689.0
21858,WIX.L,2022,1226479.0
21859,WIX.L,2023,1054358.0
21860,WIX.L,2024,1159225.0
21865,IR.N,2020,575624.0
21866,IR.N,2021,716531.0
21867,IR.N,2022,824740.0
21868,IR.N,2023,856317.0
21869,IR.N,2024,749358.0
21877,SDY.L,2023,41824.89
21878,SDY.L,2024,13699.33
21882,9532.T,2019,566068.0
21883,9532.T,2020,568485.0
21884,9532.T,2021,523317.0
21885,9532.T,2022,369382.0
21886,9532.T,2023,353863.0
21887,9532.T,2024,336024.0
21892,REGN.OQ,2020,480500.0
21893,REGN.OQ,2021,466700.0
21894,REGN.OQ,2022,588291.0
21895,REGN.OQ,2023,660589.0
21896,REGN.OQ,2024,1106777.0
21904,6285.TW,2023,3156232.9
21905,6285.TW,2024,3244361.25
21906,LMT.N,2016,7684895.0
21907,LMT.N,2017,9575636.0
21908,LMT.N,2018,10309550.0
21909,LMT.N,2019,5176708.0
21910,LMT.N,2020,5434473.0
21911,LMT.N,2021,5042493.0
21912,LMT.N,2022,3991960.0
21913,LMT.N,2023,5400903.0
21914,LMT.N,2024,4998439.0
21918,SCAb.ST,2019,141000.0
21919,SCAb.ST,2020,560000.0
